anio,mes,dia,hora(utc),altura(mm)
2016,1,15,15,144 
2016,1,15,16,105 
2016,1,15,17,79 
2016,1,15,18,68 
2016,1,15,19,73 
2016,1,15,20,98 
2016,1,15,21,139 
2016,1,15,22,187 
2016,1,15,23,239 
2016,1,16,0,286 
2016,1,16,1,310 
2016,1,16,2,303 
2016,1,16,3,274 
2016,1,16,4,230 
2016,1,16,5,181 
2016,1,16,6,135 
2016,1,16,7,99 
2016,1,16,8,81 
2016,1,16,9,80 
2016,1,16,10,95 
2016,1,16,11,128 
2016,1,16,12,170 
2016,1,16,13,199 
2016,1,16,14,205 
2016,1,16,15,193 
2016,1,16,16,175 
2016,1,16,17,158 
2016,1,16,18,148 
2016,1,16,19,144 
2016,1,16,20,151 
2016,1,16,21,174 
2016,1,16,22,207 
2016,1,16,23,246 
2016,1,17,0,286 
2016,1,17,1,319 
2016,1,17,2,329 
2016,1,17,3,309 
2016,1,17,4,266 
2016,1,17,5,209 
2016,1,17,6,147 
2016,1,17,7,90 
2016,1,17,8,46 
2016,1,17,9,21 
2016,1,17,10,18 
2016,1,17,11,39 
2016,1,17,12,85 
2016,1,17,13,138 
2016,1,17,14,179 
2016,1,17,15,202 
2016,1,17,16,213 
2016,1,17,17,217 
2016,1,17,18,217 
2016,1,17,19,216 
2016,1,17,20,214 
2016,1,17,21,221 
2016,1,17,22,242 
2016,1,17,23,269 
2016,1,18,0,298 
2016,1,18,1,328 
2016,1,18,2,349 
2016,1,18,3,345 
2016,1,18,4,313 
2016,1,18,5,257 
2016,1,18,6,187 
2016,1,18,7,115 
2016,1,18,8,49 
2016,1,18,9,-3 
2016,1,18,10,-32 
2016,1,18,11,-32 
2016,1,18,12,-1 
2016,1,18,13,54 
2016,1,18,14,116 
2016,1,18,15,170 
2016,1,18,16,212 
2016,1,18,17,244 
2016,1,18,18,261 
2016,1,18,19,269 
2016,1,18,20,270 
2016,1,18,21,269 
2016,1,18,22,277 
2016,1,18,23,297 
2016,1,19,0,319 
2016,1,19,1,340 
2016,1,19,2,361 
2016,1,19,3,372 
2016,1,19,4,357 
2016,1,19,5,313 
2016,1,19,6,246 
2016,1,19,7,167 
2016,1,19,8,87 
2016,1,19,9,12 
2016,1,19,10,-45 
2016,1,19,11,-73 
2016,1,19,12,-66 
2016,1,19,13,-27 
2016,1,19,14,35 
2016,1,19,15,105 
2016,1,19,16,174 
2016,1,19,17,234 
2016,1,19,18,275 
2016,1,19,19,297 
2016,1,19,20,305 
2016,1,19,21,306 
2016,1,19,22,306 
2016,1,19,23,316 
2016,1,20,0,335 
2016,1,20,1,353 
2016,1,20,2,368 
2016,1,20,3,384 
2016,1,20,4,386 
2016,1,20,5,361 
2016,1,20,6,308 
2016,1,20,7,233 
2016,1,20,8,147 
2016,1,20,9,58 
2016,1,20,10,-22 
2016,1,20,11,-79 
2016,1,20,12,-101 
2016,1,20,13,-86 
2016,1,20,14,-41 
2016,1,20,15,27 
2016,1,20,16,109 
2016,1,20,17,191 
2016,1,20,18,258 
2016,1,20,19,300 
2016,1,20,20,318 
2016,1,20,21,323 
2016,1,20,22,323 
2016,1,20,23,324 
2016,1,21,0,337 
2016,1,21,1,356 
2016,1,21,2,370 
2016,1,21,3,383 
2016,1,21,4,395 
2016,1,21,5,391 
2016,1,21,6,358 
2016,1,21,7,297 
2016,1,21,8,216 
2016,1,21,9,123 
2016,1,21,10,29 
2016,1,21,11,-51 
2016,1,21,12,-103 
2016,1,21,13,-116 
2016,1,21,14,-95 
2016,1,21,15,-43 
2016,1,21,16,35 
2016,1,21,17,128 
2016,1,21,18,215 
2016,1,21,19,278 
2016,1,21,20,311 
2016,1,21,21,322 
2016,1,21,22,324 
2016,1,21,23,321 
2016,1,22,0,325 
2016,1,22,1,341 
2016,1,22,2,360 
2016,1,22,3,373 
2016,1,22,4,385 
2016,1,22,5,394 
2016,1,22,6,384 
2016,1,22,7,346 
2016,1,22,8,280 
2016,1,22,9,193 
2016,1,22,10,95 
2016,1,22,11,2 
2016,1,22,12,-74 
2016,1,22,13,-117 
2016,1,22,14,-122 
2016,1,22,15,-93 
2016,1,22,16,-31 
2016,1,22,17,58 
2016,1,22,18,154 
2016,1,22,19,236 
2016,1,22,20,288 
2016,1,22,21,310 
2016,1,22,22,313 
2016,1,22,23,309 
2016,1,23,0,306 
2016,1,23,1,312 
2016,1,23,2,331 
2016,1,23,3,349 
2016,1,23,4,361 
2016,1,23,5,374 
2016,1,23,6,382 
2016,1,23,7,369 
2016,1,23,8,325 
2016,1,23,9,255 
2016,1,23,10,164 
2016,1,23,11,66 
2016,1,23,12,-22 
2016,1,23,13,-88 
2016,1,23,14,-122 
2016,1,23,15,-118 
2016,1,23,16,-77 
2016,1,23,17,-4 
2016,1,23,18,90 
2016,1,23,19,180 
2016,1,23,20,249 
2016,1,23,21,287 
2016,1,23,22,298 
2016,1,23,23,293 
2016,1,24,0,284 
2016,1,24,1,280 
2016,1,24,2,291 
2016,1,24,3,310 
2016,1,24,4,325 
2016,1,24,5,337 
2016,1,24,6,352 
2016,1,24,7,360 
2016,1,24,8,342 
2016,1,24,9,295 
2016,1,24,10,222 
2016,1,24,11,132 
2016,1,24,12,40 
2016,1,24,13,-39 
2016,1,24,14,-95 
2016,1,24,15,-116 
2016,1,24,16,-98 
2016,1,24,17,-44 
2016,1,24,18,35 
2016,1,24,19,124 
2016,1,24,20,202 
2016,1,24,21,256 
2016,1,24,22,281 
2016,1,24,23,280 
2016,1,25,0,266 
2016,1,25,1,254 
2016,1,25,2,252 
2016,1,25,3,263 
2016,1,25,4,278 
2016,1,25,5,291 
2016,1,25,6,305 
2016,1,25,7,323 
2016,1,25,8,327 
2016,1,25,9,305 
2016,1,25,10,256 
2016,1,25,11,186 
2016,1,25,12,101 
2016,1,25,13,19 
2016,1,25,14,-48 
2016,1,25,15,-90 
2016,1,25,16,-95 
2016,1,25,17,-61 
2016,1,25,18,1 
2016,1,25,19,78 
2016,1,25,20,156 
2016,1,25,21,220 
2016,1,25,22,260 
2016,1,25,23,271 
2016,1,26,0,259 
2016,1,26,1,240 
2016,1,26,2,226 
2016,1,26,3,223 
2016,1,26,4,230 
2016,1,26,5,241 
2016,1,26,6,253 
2016,1,26,7,269 
